is,O
pasta,B-ASPOBJ
better,0
than,0
pizza,B-OTHOBJ
?,0
,
is,O
mysql,B-ASPOBJ
better,0
than,0
postgresql,B-OTHOBJ
?,0
,
california,B-ASPOBJ
vs,0
michigan,B-OTHOBJ
,
is,O
ps2,B-ASPOBJ
worse,B ASP
than,0
psp,B-OTHOBJ
?,0
,
what,O
is,O
better,0
fishing,B-ASPOBJ
or,0
swimming,B-OTHOBJ
?,0
,
what,O
is,O
better,0
rubber,B-ASPOBJ
or,0
wood,B-OTHOBJ
?,0
,
is,O
haskell,B-ASPOBJ
easier,B ASP
than,0
python,B-OTHOBJ
?,0
,
is,O
hewlett-packard,B-ASPOBJ
better,0
than,0
ibm,B-OTHOBJ
?,0
,
what,O
is,O
better,0
skiing,B-ASPOBJ
or,0
swimming,B-OTHOBJ
?,0
,
is,O
pizza,B-ASPOBJ
nicer,B ASP
than,0
sandwich,B-OTHOBJ
?,0
,
bmw,B-ASPOBJ
vs,0
honda,B-OTHOBJ
,
what,O
is,O
better,0
facebook,B-ASPOBJ
or,0
youtube,B-OTHOBJ
?,0
,
what,O
is,O
better,0
google,B-ASPOBJ
or,0
sony,B-OTHOBJ
?,0
,
is,O
bread,B-ASPOBJ
faster,B ASP
than,0
soup,B-OTHOBJ
?,0
,
what,O
is,O
better,0
java,B-ASPOBJ
or,0
scala,B-OTHOBJ
?,0
,
is,O
football,B-ASPOBJ
easier,B ASP
than,0
tennis,B-OTHOBJ
?,0
,
is,O
baseball,B-ASPOBJ
better,0
than,0
golf,B-OTHOBJ
?,0
,
what,O
is,O
faster,B ASP
java,B-ASPOBJ
or,0
ruby,B-OTHOBJ
?,0
,
basketball,B-ASPOBJ
vs,0
football,B-OTHOBJ
,
is,O
bmw,B-ASPOBJ
wiser,B ASP
than,0
ford,B-OTHOBJ
?,0
,
what,O
is,O
nicer,B ASP
chalk,B-ASPOBJ
or,0
paint,B-OTHOBJ
?,0
,
is,O
concrete,B-ASPOBJ
harder,B ASP
than,0
steel,B-OTHOBJ
?,0
,
is,O
lumber,B-ASPOBJ
faster,B ASP
than,0
plywood,B-OTHOBJ
?,0
,
what,O
is,O
worse,B ASP
advil,B-ASPOBJ
or,0
ibuprofen,B-OTHOBJ
?,0
,
advil,B-ASPOBJ
vs,0
motrin,B-OTHOBJ
,
what,O
is,O
wiser,B ASP
dell,B-ASPOBJ
or,0
ibm,B-OTHOBJ
?,0
,
is,O
amazon,B-ASPOBJ
better,0
than,0
apple,B-OTHOBJ
?,0
,
is,O
bash,B-ASPOBJ
better,0
than,0
python,B-OTHOBJ
?,0
,
what,O
is,O
easier,B ASP
milk,B-ASPOBJ
or,0
soda,B-OTHOBJ
?,0
,
hockey,B-ASPOBJ
vs,0
tennis,B-OTHOBJ
,
what,O
is,O
slower,B ASP
audi,B-ASPOBJ
or,0
lexus,B-OTHOBJ
?,0
,
microsoft,B-ASPOBJ
vs,0
sony,B-OTHOBJ
,
is,O
nokia,B-ASPOBJ
wiser,B ASP
than,0
samsung,B-OTHOBJ
?,0
,
is,O
birthday,B-ASPOBJ
better,0
than,0
wedding,B-OTHOBJ
?,0
,
what,O
is,O
better,0
california,B-ASPOBJ
or,0
carolina,B-OTHOBJ
?,0
,
what,O
is,O
wiser,B ASP
beer,B-ASPOBJ
or,0
tea,B-OTHOBJ
?,0
,
carolina,B-ASPOBJ
vs,0
pennsylvania,B-OTHOBJ
,
is,O
buick,B-ASPOBJ
better,0
than,0
cadillac,B-OTHOBJ
?,0
,
what,O
is,O
better,0
amazon,B-ASPOBJ
or,0
hulu,B-OTHOBJ
?,0
,
what,O
is,O
better,0
ds,B-ASPOBJ
or,0
ps2,B-OTHOBJ
?,0
,
mouse,B-ASPOBJ
vs,0
rat,B-OTHOBJ
,
what,O
is,O
better,0
javascript,B-ASPOBJ
or,0
python,B-OTHOBJ
?,0
,
is,O
cement,B-ASPOBJ
poorly,B ASP
than,0
concrete,B-OTHOBJ
?,0
,
what,O
is,O
slower,B ASP
football,B-ASPOBJ
or,0
golf,B-OTHOBJ
?,0
,
is,O
lumber,B-ASPOBJ
better,0
than,0
timber,B-OTHOBJ
?,0
,
samsung,B-ASPOBJ
vs,0
toshiba,B-OTHOBJ
,
is,O
ferrari,B-ASPOBJ
better,0
than,0
renault,B-OTHOBJ
?,0
,
juice,B-ASPOBJ
vs,0
soda,B-OTHOBJ
,
is,O
google,B-ASPOBJ
worse,B ASP
than,0
intel,B-OTHOBJ
?,0
,
what,O
is,O
better,0
concrete,B-ASPOBJ
or,0
stone,B-OTHOBJ
?,0
,
what,O
is,O
better,0
concrete,B-ASPOBJ
or,0
timber,B-OTHOBJ
?,0
,
what,O
is,O
wiser,B ASP
mysql,B-ASPOBJ
or,0
oracle,B-OTHOBJ
?,0
,
cadillac,B-ASPOBJ
vs,0
lexus,B-OTHOBJ
,
is,O
bus,B-ASPOBJ
better,0
than,0
truck,B-OTHOBJ
?,0
