OBJECT A,OBJECT B,ASPECT,ASPECT BELONGS TO,MOST FREQUENT RATING,CONFIDENCE,AMOUNT OF GOOD RATINGS,AMOUNT OF BAD RATINGS,SENTENCE EXAMPLE 1,SENTENCE EXAMPLE 2,SENTENCE EXAMPLE 3,SENTENCE EXAMPLE 4,SENTENCE EXAMPLE 5
golf,hockey,spot,golf,BAD,1.0,0,1,,,,,
golf,hockey,greater,golf,BAD,1.0,0,1,"in fact, athletes in individual sports (i.e., golf, tennis, and track & field) reported greater reduced sense of accomplishment levels than athletes on team sports (i.e., baseball, basketball, and hockey).","first, athletes in individual sports (i.e., golf, tennis, and track & field) reported greater reduced sense of accomplishment (ra) levels than athletes in team sports (i.e., baseball, basketball, and hockey).",,,
golf,hockey,prof,golf,BAD,1.0,0,1,"being in a massive hockey market, i can't think of a better fit for us than the greyhounds,  says ryan bastien, head golf professional.",,,,
golf,hockey,arm,golf,BAD,1.0,0,1,,,,,
golf,hockey,mcphee,golf,BAD,1.0,0,1,,,,,
golf,hockey,faster,hockey,GOOD,1.0,1,0,however hockey is much faster game than golf.,,,,
golf,hockey,club,golf,BAD,1.0,0,1,,,,,
golf,hockey,easier,hockey,BAD,1.0,0,1,,,,,
golf,hockey,safer,hockey,GOOD,1.0,1,0,"adult hockey is really very safe, probably safer than golf or tennis and certainly safer than soccer in terms of injury rate.",,,,
golf,hockey,tiger,hockey,BAD,1.0,0,1,"anyone that can produce such excellent sports titles as nhl hockey, madden football, fifa soccer and nba live can certainly produce a better golf sim than this tiger woods series has been.",,,,
golf,hockey,easier for him,hockey,BAD,1.0,0,1,,,,,
golf,hockey,easier to drive a golf cart with a beer in my hand,hockey,BAD,1.0,0,1,,,,,
harvard,mit,easier,harvard,BAD,1.0,0,1,so it is well known that grading at stanford or harvard is easier than grading at mit or caltech.,,,,
harvard,mit,frats,harvard,BAD,1.0,0,1,"it seems like the guys at mit are worse than the guys at harvard because the shuttle runs directly to the frats at mit,  says jaronczyk.",,,,
harvard,mit,jaronczyk,harvard,BAD,1.0,0,1,"it seems like the guys at mit are worse than the guys at harvard because the shuttle runs directly to the frats at mit,  says jaronczyk.",,,,
harvard,mit,smarter,mit,BAD,1.0,0,1,at mit we thought we were better than people at harvard because we were smarter and worked harder.,"if you want to say mit kids are smarter than harvard kids, well, i give that to you.",i can't understand why they'd turn down the mit engineer who is probably much smarter then the harvard poetry major.,,
harvard,mit,shuttle,harvard,BAD,1.0,0,1,"it seems like the guys at mit are worse than the guys at harvard because the shuttle runs directly to the frats at mit,  says jaronczyk.",,,,
harvard,mit,harder,mit,BAD,1.0,0,1,at mit we thought we were better than people at harvard because we were smarter and worked harder.,,,,
harvard,mit,faster,mit,GOOD,1.0,1,0,"it would be great to know how much it these are, nice as cheap tickets are, a handful of $12 tickets at mit add up a lot faster than a handful of free ones at harvard, for example.",,,,
harvard,mit,earlier,mit,BAD,1.0,0,1,mit announced last week that the size of its endowment fell by roughly 21 percent this past fiscal year-substantially better than the 30 percent declines reported by harvard and yale only a few days earlier.,,,,
baseball,basketball,game,baseball,BAD,1.0,0,1,"baseball is much easier to quantify because (1) it's a one-at-a-time game on offense, and (2) the defensive statistics, although flawed, are still better than what's available for basketball.","the kind of games nintendo makes is not inferior or superior to other kinds of games, just like basketball is not superior or inferior to baseball.","husker baseball is huge right now, and baseball games will probably get better ratings than basketball.","but if i did, i would watch baseball because it is easier to get a ticket to a baseball game than a basketball game.",tickets to baseball games tend to be much cheaper and easier to get than those for football and basketball games.
