in	O
a	O
way	O
,	O
halloween	B-OBJ
is	O
even	O
better	O
than	O
thanksgiving	B-OBJ
(	O
my	O
absolute	O
favorite	O
holiday	O
)	O
because	O
thanksgiving	B-OBJ
divides	O
us	O
into	O
separate	O
households	O
,	O
while	O
halloween	B-OBJ
unites	O
us	O
into	O
bands	O
of	O
candy	B-ASPECT
bandits	O
.	O

well	O
,	O
in	O
a	O
few	O
shorts	O
weeks	O
it	O
will	O
be	O
halloween	B-OBJ
(	O
armed	O
with	O
a	O
candy	B-ASPECT
ration	O
far	O
greater	O
than	O
the	O
amount	O
handed	O
out	O
,	O
then	O
thanksgiving	B-OBJ
(	O
feast	O
!	O
)	O

dare	O
i	O
also	O
say	O
that	O
learning	O
objective	B-OBJ
-	I-OBJ
c	I-OBJ
may	O
be	O
a	O
tad	O
easier	O
than	O
swift	B-OBJ
,	O
only	O
because	O
objective	B-OBJ
-	I-OBJ
c	I-OBJ
does	O
not	O
contain	O
some	O
of	O
the	O
more	O
advanced	O
features	O
as	O
swift	B-OBJ
such	O
as	O
functional	O
patterns	B-ASPECT
,	O
generics	O
,	O
and	O
advanced	O
enumeration	O
and	O
collection	O
features	O
.	O

when	O
we	O
started	O
we	O
basically	O
followed	O
the	O
same	O
patterns	B-ASPECT
we	O
used	O
in	O
objective	B-OBJ
-	I-OBJ
c	I-OBJ
,	O
but	O
over	O
time	O
we	O
'	O
ve	O
learned	O
to	O
embrace	O
swift	B-OBJ
'	O
s	O
features	O
and	O
follow	O
patterns	B-ASPECT
unique	O
to	O
swift	B-OBJ
.	O

i	O
'	O
ve	O
never	O
written	O
anything	O
in	O
the	O
ios	O
ecosystem	O
so	O
i	O
spent	O
about	O
a	O
week	O
to	O
research	O
before	O
digging	O
in	O
.	O
the	O
transition	O
was	O
smooth	O
primarily	O
because	O
i	O
'	O
m	O
using	O
swift	B-OBJ
--	O
a	O
much	O
more	O
succinct	O
and	O
modern	O
language	O
than	O
objective	B-OBJ
-	I-OBJ
c	I-OBJ
--	O
and	O
my	O
somewhat	O
dated	O
android	O
experience	O
and	O
